,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id
3162,"A 41-year-old man presents to the clinic with the complaints of abdominal discomfort and cramping for the past 4 months. He also mentions that he has grossly bloody stool and most of the time an urge to defecate. He has a history of bulimia with laxative abuse several years ago. He admits having lost about 5 lb in the past month. His temperature is 37° C (98.6° F), respiratory rate is 15/min, pulse is 77/min, and blood pressure is 105/86 mm Hg. On physical examination, a mild conjunctival pallor is evident, and the rectum is erythematous, indurated, and tender. Colonoscopy demonstrates continuous mucosal lesions throughout the rectum to the hepatic flexure of the colon. What is the most likely diagnosis?",Crohn’s disease,Irritable bowel syndrome,Ulcerative colitis,Celiac disease,Ulcerative colitis,Gastrointestinal System,MedQA_USMLE,case_3162
3163,"An 11-year-old girl presents with a 1-day history of frothy brown urine. She has no significant medical history and takes no medications. She reports that several of her classmates have been sick, and she notes that she had a very sore throat with a fever approx. 2 weeks ago. Her blood pressure is 146/94 mm Hg, heart rate is 74/min, and respiratory rate is 14/min. Laboratory analysis reveals elevated serum creatinine, hematuria with RBC casts, and elevated urine protein without frank proteinuria. Physical examination reveals a healthy-looking girl with no abdominal or costovertebral angle tenderness. Which of the following is the most likely diagnosis?",Poststreptococcal glomerulonephritis,Henoch-Schönlein purpura,Minimal change disease,Membranoproliferative glomerulonephritis,Poststreptococcal glomerulonephritis,Renal and Genitourinary System,MedQA_USMLE,case_3163
3167,"A 45-year-old man is brought by his wife with a complaint of an ongoing progressive history of memory problems for 6 months. He is an accountant by profession. He has difficulty remembering things and events, which has affected his job. He began using a diary to aid with remembering his agenda. His wife also says that he has wet his pants multiple times in the past 2 months and he avoids going out. He has been smoking 1 pack of cigarettes daily for the past 20 years. His past medical history is unremarkable. The vital signs include: blood pressure of 134/76 mm Hg, a pulse of 70 per minute, and a temperature of 37.0°C (98.6°F). His mini-mental state examination (MMSE) result is 22/30. His extraocular movements are normal. The muscle tone and strength are normal in all 4 limbs. The sensory examination is unremarkable. He has an absent Romberg’s sign. He walks slowly, taking small steps, with feet wide apart as if his feet are stuck to the floor. The CT scan of the head is shown in the image. What is the most likely diagnosis of the patient?",Parkinson’s disease,Frontotemporal dementia,Early-onset Alzheimer’s disease,Normal-pressure hydrocephalus,Normal-pressure hydrocephalus,Neurology,MedQA_USMLE,case_3167
3168,"A 38-year-old woman presents with anxiety. She says that, for as long as she can remember, she has been anxious, especially when at work or in social situations, which she has difficulty controlling. She also reports difficulty sleeping, irritability, and muscle tension. She says her symptoms have significantly limited her work and personal relationships. She has no other significant past medical history. The patient denies any history of smoking, alcohol consumption or recreational drug use. She is afebrile, and her vitals signs are within normal limits. A physical examination is unremarkable. Which of the following medications would be the most appropriate first-line treatment for this patient’s most likely diagnosis?",Alprazolam,Propranolol,Paroxetine,Buspirone,Paroxetine,Other,MedQA_USMLE,case_3168
3169,"A 29-year-old man presents to the clinic with several days of flatulence and greasy, foul-smelling diarrhea. He says that he was on a camping trip last week after which his symptoms started. When asked further about his camping activities, he reports collecting water from a stream but did not boil or chemically treat the water. The patient also reports nausea, weight loss, and abdominal cramps followed by sudden diarrhea. He denies tenesmus, urgency, and bloody diarrhea. His temperature is 37°C (98.6° F), respiratory rate is 15/min, pulse is 107/min, and blood pressure is 89/58 mm Hg. A physical examination is performed where nothing significant was found except for dry mucous membranes. Intravenous fluids are started and a stool sample is sent to the lab, which reveals motile protozoa on microscopy, negative for any ova, no blood cells, and pus cells. What is the most likely diagnosis?",Traveler’s diarrhea due to Norovirus,Traveler’s diarrhea due to ETEC,Giardiasis,C. difficile colitis,Giardiasis,Infectious Diseases,MedQA_USMLE,case_3169
3173,"An obese 50-year-old woman presents to the emergency department of a rural hospital due to chest pain for the last 12 hours. The pain is substernal, crushing in nature, radiating into her neck, and accompanied by profuse sweating. Her history is significant for hypertension, and she admits poor compliance with her medications. An ECG done at the clinic confirmed the presence of STEMI, and the patient was given aspirin. The ambulance was in an accident on the way to the hospital and by the time the patient reached the angiography suite, the cardiologist decided intervention should be delayed due to the late presentation. Also, the patient’s pain has improved. The patient is admitted and is stable for 3 nights with no dyspnea or edema. Her blood pressure is kept under control while in the hospital. On the fourth night, the patient becomes quite agitated and soon thereafter she is unresponsive. Her pulse cannot be palpated. She has an elevated JVP and upon auscultation, heart sounds are distant. What is the most likely diagnosis for this patient?",Acute pericarditis,Papillary muscle rupture,Left ventricular free wall rupture,Pulmonary embolism,Left ventricular free wall rupture,Cardiovascular System,MedQA_USMLE,case_3173
3177,"A 31-year-old male presents with a 2-day history of watery diarrhea that began 8 days after his arrival from Africa. None of the other members of his family became ill. He reports symptoms of malaise, anorexia, and abdominal cramps followed by watery diarrhea. He denies tenesmus, urgency, and bloody diarrhea. His temperature is 98.6°F (37°C), respiratory rate is 15/min, pulse is 107/min, and blood pressure is 90/68 mm Hg. A physical examination is performed and is within normal limits. Intravenous fluids are started, and a stool sample is sent to the lab, which comes out to be negative for any ova/parasites, blood cells, or pus cells. What is the most likely diagnosis?",C. difficile colitis,Traveler’s diarrhea due to ETEC,Irritable bowel syndrome (IBS),Traveler’s diarrhea due to Norovirus,Traveler’s diarrhea due to ETEC,Infectious Diseases,MedQA_USMLE,case_3177
3178,"A 20-year-old man is brought to the behavioral health clinic by his roommate. The patient’s roommate says that the patient has been looking for cameras that aliens planted in their apartment for the past 2 weeks. Approximately 3 months prior to the onset of this episode, the roommate says the patient stopped playing basketball daily because the sport no longer interested him. He stayed in his bedroom most of the day and was often tearful. The roommate recalls the patient talking about death frequently. The patient states he has been skipping many meals and has lost a significant amount of weight as a result. At the time his delusions about the aliens began, the depressive-related symptoms were no longer present. He has no other medical conditions. He does not drink but smokes 2 packs of cigarettes daily for the past 5 years. His vitals include: blood pressure 130/88 mm Hg, pulse 92/min, respiratory rate 16/min, temperature 37.3°C (99.1°F). On physical examination, the patient seems apathetic and uses an obscure word that appears to be ‘chinterfittle’. His affect is flat throughout the entire interaction. He is experiencing bizarre delusions but no hallucinations. The patient does not express suicidal or homicidal ideations. Urine drug screen results are provided below:
Amphetamine negative
Benzodiazepine negative
Cocaine negative
GHB negative
Ketamine negative
LSD negative
Marijuana positive
Opioids negative
PCP negative
Which of the following is the correct diagnosis?",Schizoaffective disorder,Brief psychotic disorder,Schizophrenia with depression,Cannabis intoxication,Schizoaffective disorder,Other,MedQA_USMLE,case_3178
3180,"A 1-day-old infant born at full term by uncomplicated spontaneous vaginal delivery is noted to have cyanosis of the oral mucosa. The baby otherwise appears comfortable. On examination, his respiratory rate is 40/min and pulse oximetry is 80%. His left thumb is displaced and hypoplastic. A right ventricular lift is palpated, S1 is normal, S2 is single, and a harsh 3/6 systolic ejection murmur is heard at the left upper sternal border. Chest X-ray is shown. Which of the following is the most likely diagnosis?",Ventricular septal defect,Pneumothorax,Transient tachypnoea of the newborn,Tetralogy of Fallot,Tetralogy of Fallot,Cardiovascular System,MedQA_USMLE,case_3180
3182,"A 53-year-old man is brought to the emergency department for confusion. He was in his usual state of health until about 3 hours ago when he tried to use his sandwich to turn off the TV. He also complained to his wife that he had a severe headache. Past medical history is notable for hypertension, which has been difficult to control on multiple medications. His temperature is 36.7°C (98°F), the pulse is 70/min, and the blood pressure is 206/132 mm Hg. On physical exam he is alert and oriented only to himself, repeating over and over that his head hurts. The physical exam is otherwise unremarkable and his neurologic exam is nonfocal. The noncontrast CT scan of the patient’s head is shown. Which of the following diagnostic tests is likely to reveal the diagnosis for this patient?",MRI of the brain,CT angiography of the brain,Electroencephalogram (EEG),Lumbar puncture,MRI of the brain,Neurology,MedQA_USMLE,case_3182
3183,"A 53-year-old woman presents to a physician with a cough which she has had for the last 5 years. She mentions that her cough is worse in the morning and is associated with significant expectoration. There is no history of weight loss or constitutional symptoms like fever and malaise. Her past medical records show that she required hospitalization for breathing difficulty on 6 different occasions in the last 3 years. She also mentions that she was never completely free of her respiratory problems during the period between the exacerbations and that she has a cough with sputum most of the months for the last 3 years. She works in a cotton mill and is a non-smoker. Her mother and her maternal grandmother had asthma. Her temperature is 37.1°C (98.8°F), the pulse is 92/min, the blood pressure is 130/86 mm Hg, and her respiratory rate is 22/min. General examination shows obesity and mild cyanosis. Auscultation of her chest reveals bilateral coarse rhonchi. Her lung volumes on pulmonary function test are given below:
  Pre-bronchodilator Post-bronchodilator
FEV1 58% 63%
FVC  90% 92%
FEV1/FVC  0.62 0.63
TLC 98% 98%
The results are valid and repeatable as per standard criteria. Which of the following is the most likely diagnosis?",Extrinsic allergic alveolitis,Idiopathic pulmonary fibrosis,Chronic bronchitis,Emphysema,Chronic bronchitis,Other,MedQA_USMLE,case_3183
3185,"A 12-year-old boy presents with a 3-day history of frothy brown urine. He does not complain of any other symptoms. He notes that 3 weeks ago he had a fever with a sore throat, but he did not receive any treatment at the time. His blood pressure is 152/94 mm Hg, heart rate is 72/min, respiratory rate is 15/min, and temperature is 37.0°C (98.6°F). Review of his medical record shows that his blood pressure was 118/74 mm Hg just 4 weeks ago. Laboratory analysis reveals elevated serum creatinine, hematuria with RBC casts, and elevated urine protein without frank proteinuria. What laboratory test can confirm the most likely diagnosis in this patient?",Urine electrolytes,Urine catecholamine assessment,Urine Gram stain,Antistreptolysin O (ASO) titer,Antistreptolysin O (ASO) titer,Renal and Genitourinary System,MedQA_USMLE,case_3185
3186,"An 8-year-old boy is brought to the pediatrician by his mother with nausea, vomiting, and decreased frequency of urination. He has acute lymphoblastic leukemia for which he received the 1st dose of chemotherapy 5 days ago. His leukocyte count was 60,000/mm3 before starting chemotherapy. The vital signs include: pulse 110/min, temperature 37.0°C (98.6°F), and blood pressure 100/70 mm Hg. The physical examination shows bilateral pedal edema. Which of the following serum studies and urinalysis findings will be helpful in confirming the diagnosis of this condition? ","Hyperkalemia, hyperphosphatemia, hypocalcemia, hyperuricemia, urine supernatant pink, and positive for heme","Hyperuricemia, hyperkalemia, hyperphosphatemia, lactic acidosis, and urate crystals in the urine","Hyperuricemia, hyperkalemia, hyperphosphatemia, and urinary monoclonal spike","Hyperkalemia, hyperphosphatemia, hypocalcemia, and extremely elevated creatine kinase (MM)","Hyperuricemia, hyperkalemia, hyperphosphatemia, lactic acidosis, and urate crystals in the urine",Renal and Genitourinary System,MedQA_USMLE,case_3186
3187,"A 24-year-old woman, G1P0, presents to her OB/GYN for her annual examination with complaints of painful cramps, abdominal pressure, and bloating with her cycle. She reports that she has not menstruated since her missed abortion requiring dilatation and curettage (D&C) seven months ago. She is sexually active with her husband and is not using any form of contraception. Her BMI is 29. At the clinic, her vitals are as follows: temperature, 98.9°F; pulse, 80/min; and blood pressure, 120/70 mm Hg. The physical examination is unremarkable. Thyroid-stimulating hormone, follicle-stimulating hormone, and prolactin concentrations are all within normal limits. The patient tests negative for qualitative serum beta‐hCG. A progestin challenge test reveals no withdrawal bleeding. What is the most likely diagnosis?",Pelvic inflammatory disease,Hypothalamic hypoestrogenism,Asherman syndrome,Endometriosis,Asherman syndrome,Obstetrics and Gynecology,MedQA_USMLE,case_3187
3188,"An 8-year-old girl is brought to the emergency department by her parents because she complained of very fast heartbeats. The patient has previously been healthy without any childhood illnesses and has not needed to visit a physician in the past 2 years. On examination, the heart rate is 198/min. Further examination by the physician reveals a grade III holosystolic murmur over the anterior chest wall. ECG is immediately performed after her heart rate is reduced, and shows a short P-R interval with a slow upstroke of the QRS complex. Which of the following is the most likely diagnosis in this patient?",Ebstein anomaly,Pulmonic stenosis,Tricuspid atresia,Atrial septal defect,Ebstein anomaly,Cardiovascular System,MedQA_USMLE,case_3188
3189,"A 65-year-old man presents with painless swelling of the neck over the past week. He also has noted severe night sweats, which require a change of clothes and bed linens the next day. His medical history is significant for long-standing hypertension. He received a kidney transplant 6 years ago. His current medications include amlodipine, metoprolol, furosemide, aspirin, tacrolimus, and mycophenolate. His family history is significant for his sister, who died last year from lymphoma. A review of systems is positive for a 6-kg (13.2-lb) unintentional weight loss over the past 2 months. His vital signs include: temperature 37.8℃ (100.0℉) and blood pressure 120/75 mm Hg. On physical examination, there are multiple painless lymph nodes, averaging 2 cm in diameter, palpable in the anterior and posterior triangles of the neck bilaterally. Axillary and inguinal lymphadenopathy is palpated on the right side. Abdominal examination is significant for a spleen of 16 cm below the cost margin on percussion. Laboratory studies are significant for the following:
Hemoglobin 9 g/dL
Mean corpuscular volume 88 μm3
Leukocyte count 12,000/mm3
Platelet count 130,000/mm3
Creatinine 1.1 mg/dL
Lactate dehydrogenase (LDH) 1 000 U/L
A peripheral blood smear is unremarkable. Which of the following is the most likely diagnosis in this patient?",Non-Hodgkin’s lymphoma (NHL),Multiple myeloma,Cytomegalovirus infection,Drug-induced lymphadenopathy,Non-Hodgkin’s lymphoma (NHL),Hematology and Oncology,MedQA_USMLE,case_3189
3190,"A 47-year old morbidly obese woman presents to the Emergency Department with complaints of profound nausea, diarrhea, and malaise. Her past surgical history is significant for undergoing a laparoscopic gastric bypass procedure seven weeks ago for weight reduction. She has lost 15 kg since the surgery and currently, her BMI is 41 kg/m2. Her only medications are vitamins. Blood pressure is 84/40 mm Hg and heart rate is 127/min. She is afebrile. Her abdomen is distended and tympanitic with some diffuse tenderness. An abdominal X-ray and without oral contrast demonstrates a diffusely dilated small-bowel without any obvious distal decompressed bowel nor any abdominal free air. What is this patient’s diagnosis likely related to?",Fistula,Anastomotic dehiscence,Bacterial overgrowth,Perforation,Bacterial overgrowth,Gastrointestinal System,MedQA_USMLE,case_3190
3194,"A 4-year-old girl is brought to the physician with a 3-month history of progressive intermittent pain and swelling involving both knees, right ankle, and right wrist. The patient has been undergoing treatment with acetaminophen and ice packs, both of which relieved her symptoms. The affected joints feel ""stuck” and are difficult to move immediately upon waking up in the morning. However, the patient can move her joints freely after a few minutes. She also complains of occasional mild eye pain that resolves spontaneously. Five months ago, she was diagnosed with an upper respiratory tract infection that resolved without treatment. Vital signs are within normal limits. Physical examination shows swollen and erythematous joints, which are tender to touch. Slit-lamp examination shows an anterior chamber flare with signs of iris inflammation bilaterally. Laboratory studies show:
Blood parameters
Hemoglobin 12.6 g/dL
Leukocyte count 8,000/mm3
Segmented neutrophils 76%
Eosinophils 1%
Lymphocytes 20%
Monocytes 3%
Platelet count 360,000/mm3
Erythrocyte sedimentation rate 36 mm/hr
Serum parameters
Antinuclear antibodies 1:320
Rheumatoid factor negative
Which of the following is the most likely diagnosis?",Oligoarticular juvenile idiopathic arthritis,Enthesitis-related arthritis,Seronegative polyarticular juvenile idiopathic arthritis,Acute lymphocytic leukemia,Oligoarticular juvenile idiopathic arthritis,Rheumatology,MedQA_USMLE,case_3194
3195,"An otherwise healthy 42-year-old man undergoes routine investigations prior to blood donation. His complete blood count is shown:
Hemoglobin 9.3 g/dL
Mean corpuscular volume (MCV) 71 μm3
Mean corpuscular hemoglobin (MCH) 21 pg/cell
White blood cell count 8,200/mm3
Platelet count 317,000/mm3
Iron studies are shown:
Serum iron 210 μg/dL
Serum ferritin 310 ng/mL
Total iron binding capacity (TIBC) 290 μg/dL
Transferrin saturation 78%
He occasionally drinks alcohol and denies smoking or use of illicit drugs. There is a family history of anemia including his brother and maternal uncle. Examination shows conjunctival pallor, but is otherwise unremarkable. Which of the following is the most likely diagnosis?",Anemia of chronic disease,Myelodysplastic syndrome,Acute myeloid leukemia,Sideroblastic anemia,Sideroblastic anemia,Hematology and Oncology,MedQA_USMLE,case_3195
3198,"A 4-year-old boy presents with a dry cough. The patient’s mother states that the cough started a week ago and has not improved. She says the patient will have fits of forceful coughing that will last for minutes, followed by gasping as he catches his breath. Occasionally, the patient will vomit after one of these episodes. Past medical history is significant for a recent upper respiratory infection 4 weeks ago that has resolved. No current medications. Patient immunization status is incomplete because his mother believes they are harmful. Vitals are temperature 37.0°C (98.6°F), blood pressure 105/65 mm Hg, pulse 101/min, respiratory rate 27/min, and oxygen saturation 99% on room air. Cardiac exam is normal. Lungs are clear to auscultation. There are conjunctival hemorrhages present bilaterally. Which of the following correctly describes the stage of this patient’s most likely diagnosis?",Intermittent stage,Paroxysmal stage,Convalescent stage,Catarrhal stage,Paroxysmal stage,Pediatrics and Neonatology,MedQA_USMLE,case_3198
3199,"A 44-year-old woman presents to the outpatient clinic for the evaluation of amenorrhea which she noted roughly 4 months ago. Her monthly cycles up to that point were normal. Initially, she thought that it was related to early menopause; however, she has also noticed that she has a small amount of milk coming from her breasts as well. She denies any nausea, vomiting, or weight gain but has noticed that she has lost sight in the lateral fields of vision to the left and right. Her vital signs are unremarkable. Physical examination confirms bitemporal hemianopsia. What test is likely to reveal her diagnosis?",MRI brain,Serum estrogen and progesterone levels,Mammogram,Serum TSH and free T4,MRI brain,Endocrinology,MedQA_USMLE,case_3199
3200,"A 55-year-old man presents to the internal medicine clinic with complaints of numbness and tingling in his fingers that he first noticed 6 months ago. It has been progressively worsening and has reached the point where it is affecting his normal daily activities, such as brushing his teeth. His past medical history is significant for sinusitis and allergic rhinitis since the age of 18, as well as episodic wheezing and shortness of breath since he was 30. He was diagnosed with asthma when he was 22 years old, and subsequently with gastroesophageal reflux disease (GERD) when he was 40. His current medications include albuterol, loratadine, mometasone, and omeprazole. His blood pressure is 128/86 mm Hg, heart rate is 78/min, and respiratory rate is 16/min. On physical exam, the patient’s skin is mottled and appears to have a diffuse, lace-like, erythematous discoloration of the arms, legs, and trunk. There is also a small papular rash on his right forearm. Bilateral wheezes are heard on auscultation. Which of the following is the most likely diagnosis?",CREST syndrome,Polyarteritis nodosa,Eosinophilic granulomatosis with polyangiitis,Granulomatosis with polyangiitis,Eosinophilic granulomatosis with polyangiitis,Rheumatology,MedQA_USMLE,case_3200
3204,"A 3-year-old boy is brought in by his mother because she is concerned that he has been “acting differently recently”. She says he no longer seems interested in playing with his friends from preschool, and she has noticed that he has stopped making eye contact with others. In addition, she says he flaps his hands when excited or angry and only seems to enjoy playing with objects that he can place in rows or rigid patterns. Despite these behaviors, he is meeting his language goals for his age (single word use). The patient has no significant past medical history. He is at the 90th percentile for height and weight for his age. He is afebrile and his vital signs are within normal limits. A physical examination is unremarkable. Which of the following is the most likely diagnosis in this patient?","Pervasive developmental disorder, not otherwise specified",Autism spectrum disorder,Asperger’s disorder,Rett’s disorder,Autism spectrum disorder,Pediatrics and Neonatology,MedQA_USMLE,case_3204
3205,"A 55-year-old man presents with bloody nasal secretions and shortness of breath. He reports he has lost 4 kg (8.8 lb) in the last two months with no changes in his diet. He has also been suffering from mild to moderate joint pain in the left knee for the last year. His past medical history is unremarkable. His vitals include: blood pressure 120/70 mm Hg, temperature 37.0℃ (98.6℉), pulse 70/min, respiratory rate 14/min. Physical examination is significant for nasal ulcers. Diffuse crackles are present over all lobes of the lung bilaterally. Laboratory findings are significant for the following:
Hemoglobin 12.9 g/dL
Hematocrit 37.7%
Leukocyte count 5500/mm3
Neutrophils 65%
Lymphocytes 30%
Monocytes 5%
Mean corpuscular volume 82.2 μm3
Platelet count 190,000/mm3
Erythrocyte sedimentation rate 35 mm/h
C-reactive protein 14 mg/dL
Creatinine 3.09 mg/dL
The patient is prescribed a corticosteroid nasal spray and oral antibiotics but returns in 2 weeks without any clinical improvement. Which of the following would most likely confirm the diagnosis in this patient?",Anti-histone bodies,Antineutrophil cytoplasmic antibodies,Erythrocyte sedimentation rate,Anti-Ro,Antineutrophil cytoplasmic antibodies,Rheumatology,MedQA_USMLE,case_3205
3207,"A 15-year-old boy is brought to the physician with an ongoing pruritic rash for 1 week. The rash is on his right forearm (refer to the image). He has not had a similar rash in the past. He has no history of allergies, and he is not taking any medications. He frequently enjoys gardening in their backyard. They have no household pets. The physical examination reveals no other abnormalities. Given the most likely diagnosis, which of the following is the most appropriate treatment of the condition described in this case?",Topical clotrimazole,Topical hydrocortisone,Oral acitretin,Oral chlorpheniramine,Topical clotrimazole,Dermatology,MedQA_USMLE,case_3207
3209,"A 59-year-old man presents to his family practitioner with his wife. He has fallen several times over the past 3 months. Standing up from a seated position is especially difficult for him. He also complains of intermittent dizziness, excessive sweating, constipation, and difficulty performing activities of daily living. He denies fever, jerking of the limbs, memory disturbances, urinary incontinence, and abnormal limb movements. Past medical includes a cholecystectomy 25 years ago and occasional erectile dysfunction. He takes a vitamin supplement with calcium and occasionally uses sildenafil. While supine, his blood pressure is 142/74 mm Hg and his heart rate is 64/min. After standing, his blood pressure is 118/60 mm Hg and his heart rate is 62/min. He is alert and oriented with a flat affect while answering questions. Extraocular movements are intact in all directions. No tremors are noticed. Muscle strength is normal in all limbs but with increased muscle tone. He is slow in performing intentional movements. His writing is small and he takes slow steps during walking with adducted arms and a slightly reduced arm swing. A trial of levodopa did not improve his symptoms. What is the most likely diagnosis?",Wilson disease,Parkinson’s disease,Huntington disease,Shy-Drager syndrome,Shy-Drager syndrome,Neurology,MedQA_USMLE,case_3209
3213,"A 45-year-old woman presents to the physician with a history of headache, palpitations, and episodic diaphoresis. She was diagnosed with hypertension in the past and is now regularly taking antihypertensive medication (amlodipine 10 mg once daily). She has had a diffuse thyroid swelling for the past 4 months. She complains of pain in the long bones of her arms and legs for the past 3 months. She is slightly built, appears thin, and is anxious and apprehensive. Her skin is moist and warm. Her weight is 45 kg (99.2 lb) and height is 146 cm (4 ft 7 in); BMI is 21.12 kg/m2. Her pulse is 116/min, the blood pressure is 196/102 mm Hg, the respiratory rate is 29/min, and the temperature is 37.2°C (99.0°F). Diffuse and firm thyromegaly is present. Her upper extremities exhibit fine tremors during an anxiety attack. The laboratory test results reveal elevated 24-hour urinary VMA and metanephrines. Serum epinephrine, calcitonin, and parathormone levels are also elevated. Hypercalcemia and hyperglycemia are also noted. Which of the following is the most likely diagnosis?",Multiple endocrine neoplasia (MEN) 2A,Cowden syndrome,Multiple endocrine neoplasia (MEN) 2B,Multiple endocrine neoplasia (MEN) 1,Multiple endocrine neoplasia (MEN) 2A,Endocrinology,MedQA_USMLE,case_3213
3215,"A 64-year-old woman presents for the scheduled annual physical examination for management of her hypertension. The patient is asymptomatic and her blood pressure is within normal limits throughout the year. She has a past medical history of polyarthrosis, and she is a carrier of hepatitis B antibodies. She does not smoke or drink alcohol. She is currently taking the following medications: enalapril, ranitidine, and lorazepam. The vital signs include: pulse rate 72/min, respiratory rate 14/min, blood pressure 138/76 mm Hg, and temperature 37.0°C (98.6°F). The physical examination shows no abnormalities. The laboratory test results are shown below:
Hemoglobin 11.6 g/dL
Hematocrit 34.8%
MCV 91.4 fL
MCH 31.4 pg
Platelets 388,000/mm3
Leukocytes 7,300/mm3
ESR 59 mm/h
On account of these laboratory test results, the patient was once again questioned for symptoms that would explain the abnormality detected in her laboratory test results. The patient insists that she is asymptomatic. Therefore, further laboratory studies were requested. The additional laboratory test results are shown below:
PCR 5.3 mg/dL
Serum protein electrophoresis
Total proteins 7.4 g/dL
Albumin 5.8 g/dL
Alpha-1 3.5 g/dL
Alpha-2 1 g/dL
Beta 0.9 g/dL
Gamma 1.7 g/dL
The gamma protein was later confirmed as an immunoglobulin G (IgG) kappa paraprotein (1,040 mg/dL). Due to these results a computed tomography (CT) scan was conducted, and it showed moderate osteopathy without any other lesions. A bone marrow biopsy was done that showed 5–10% plasma cells. Which of the following is most likely associated with the diagnosis of this patient?",Acanthosis nigricans,Teardrop cells in blood smear,Richter’s transformation,Osteoporosis,Osteoporosis,Hematology and Oncology,MedQA_USMLE,case_3215
3216,"A 30-year-old primigravida schedules an appointment with her obstetrician for a regular check-up. She says that everything is fine, although she reports that her baby has stopped moving as much as previously. She is 22 weeks gestation. She denies any pain or vaginal bleeding. The obstetrician performs an ultrasound and also orders routine blood and urine tests. On ultrasound, there is no fetal cardiac activity or movement. The patient is asked to wait for 1 hour, after which the scan is to be repeated. The second scan shows the same findings. Which of the following is the most likely diagnosis?",Ectopic pregnancy,Missed abortion,Complete abortion,Fetal demise,Fetal demise,Obstetrics and Gynecology,MedQA_USMLE,case_3216
3220,"A 45-year-old woman presents with a 2-year history of fatigue, paresthesia, diarrhea, and abdominal pain. She says she experiences 2–3 episodes of non-bloody diarrhea per month associated with crampy abdominal pain. She also has the bilateral tingling sensation of her upper and lower limbs in a glove and stocking pattern which is sometimes associated with the burning sensation of her hands and legs. Past medical history is unremarkable. The patient denies smoking, alcohol consumption, illicit drug use. Her vital signs include: blood pressure 100/60 mm Hg without postural changes, heart rate 92/min, respiratory rate 16/min, temperature 37.0℃ (98.6℉). Laboratory findings are significant for the following:
Hgb 7.2 gm/dL
MCV 110 fL
RBC 3.6 X109/L
Platelets 10,000/mm3
Total count  4,200/mm3
Reticulocyte 0.8%
A peripheral blood smear demonstrates hypersegmented neutrophils. Anti-intrinsic factor and anti-tissue transglutaminase antibodies were negative. An upper GI series with small bowel follow-through is performed which shows a narrowing of the barium contrast in the lumen of the terminal ileum to the width of a string. Which of the following is the most likely diagnosis in this patient?",Crohn's disease,Bacterial overgrowth,Pernicious anemia,Hypothyroidism,Crohn's disease,Gastrointestinal System,MedQA_USMLE,case_3220
3221,"A day after percutaneous coronary intervention for stable angina, a 63-year-old woman develops severe pain in her right small toe. She has no history of a similar episode. She has had diabetes mellitus for 16 years. After the procedure, her blood pressure is 145/90 mm Hg, the pulse is 65/min, the respiratory rate is 15/min, and the temperature is 36.7°C (98.1°F). Physical examination of the femoral artery access site shows no abnormalities. Distal pulses are palpable and symmetric. A photograph of the toe is shown. Which of the following is the most likely diagnosis?",Diabetic foot,Cellulitis,Burger’s syndrome,Atheroembolism,Atheroembolism,Cardiovascular System,MedQA_USMLE,case_3221
3223,"A 34-year-old man presents to the behavioral health clinic for an evaluation after seeing animal-shaped clouds in the form of dogs, cats, and monkeys. The patient says that these symptoms have been present for more than 2 weeks. Past medical history is significant for simple partial seizures for which he takes valproate, but he has not had his medication adjusted in several years. His vital signs include: blood pressure of 124/76 mm Hg, heart rate of 98/min, respiratory rate of 12/min, and temperature of 37.1°C (98.8°F). On physical examination, the patient is alert and oriented to person, time, and place. Affect is not constricted or flat. Speech is of rapid rate and high volume. Pupils are equal and reactive bilaterally. The results of a urine drug screen are as follows:
Alcohol positive
Amphetamine negative
Benzodiazepine negative
Cocaine positive
GHB negative
Ketamine negative
LSD negative
Marijuana negative
Opioids negative
PCP negative
Which of the following is the most likely diagnosis in this patient?",Visual hallucination,Illusion,Cocaine intoxication,Delusion,Illusion,Neurology,MedQA_USMLE,case_3223
3225,"A 75-year-old man presents to the emergency department because of pain in his left thigh and left calf for the past 3 months. The pain occurs at rest, worsens with walking, and is slightly improved by hanging his foot off the bed. He has had hypertension for 25 years and type 2 diabetes mellitus for 30 years. He has smoked 30–40 cigarettes per day for the past 45 years. On examination, the femoral, popliteal, and dorsalis pedis pulses are diminished, but detectable on both sides. The patient’s foot is shown in the image. Which of the following is the most likely diagnosis?",Pseudogout,Raynaud’s phenomenon,Critical limb ischemia,Venous ulcer,Critical limb ischemia,Cardiovascular System,MedQA_USMLE,case_3225
